PatientID,Age,AadhaarNumber,DeliveryType,LOS,Complications,Readmitted,Location,ConsentObtained
PT0001,31,2574-2988-9274,Vaginal,2,No,Yes,Urban,Yes
PT0002,20,2798-5110-6806,C-Section,3,Yes,No,Urban,Yes
PT0003,41,9514-4149-6596,Vaginal,3,No,No,Urban,Yes
PT0004,31,9346-6906-9727,C-Section,2,Yes,No,Urban,No
PT0005,21,4767-4420-8937,C-Section,2,Yes,No,Urban,Yes
PT0006,34,4864-2639-2828,Vaginal,2,No,No,Urban,Yes
PT0007,38,2451-8368-7830,Vaginal,2,No,No,Urban,Yes
PT0008,23,8707-3339-2230,Vaginal,2,No,No,Urban,Yes
PT0009,30,1628-3649-4189,Vaginal,2,No,No,Urban,Yes
PT0010,22,9119-9985-9174,Vaginal,2,No,Yes,Urban,Yes
PT0011,37,6226-8609-5014,Vaginal,3,No,No,Urban,Yes
PT0012,26,1248-9635-7744,C-Section,2,Yes,No,Urban,Yes
PT0013,30,8510-1155-1818,Vaginal,2,No,Yes,Urban,Yes
PT0014,34,5625-2540-8769,Vaginal,2,No,No,Urban,Yes
PT0015,41,2245-3891-5709,Vaginal,2,No,No,Urban,Yes
PT0016,34,9415-2594-7659,C-Section,4,Yes,No,Suburban,Yes
PT0017,34,6022-8911-4072,Vaginal,3,No,No,Urban,Yes
PT0018,27,5216-8925-1044,Vaginal,3,No,No,Urban,No
PT0019,30,8776-4188-5576,C-Section,3,No,No,Urban,Yes
PT0020,33,1331-1235-2217,Vaginal,2,No,No,Urban,Yes
PT0021,32,5839-9582-8078,Vaginal,2,No,No,Urban,Yes
PT0022,28,4358-9986-4127,C-Section,2,Yes,No,Urban,Yes
PT0023,29,4625-5918-1499,Vaginal,3,No,No,Urban,Yes
PT0024,30,4163-8897-7079,Vaginal,2,No,No,Urban,Yes
PT0025,34,7082-6781-1236,C-Section,4,Yes,No,Suburban,Yes
PT0026,23,8665-6842-3349,Vaginal,3,No,No,Urban,Pending
PT0027,35,8479-4298-4134,Vaginal,2,No,No,Urban,Yes
PT0028,30,7213-1406-1552,C-Section,3,No,No,Urban,Yes
PT0029,21,7963-5050-7721,Vaginal,7,No,No,Rural,Yes
PT0030,30,6037-3997-8879,Vaginal,2,No,No,Urban,Yes
PT0031,30,5172-8524-4301,Vaginal,2,No,No,Urban,Yes
PT0032,36,8509-6910-3377,Vaginal,3,No,No,Suburban,Yes
PT0033,32,6974-1119-9629,Vaginal,3,No,No,Suburban,Yes
PT0034,37,4927-8083-6172,Vaginal,3,Yes,No,Urban,Yes
PT0035,28,3826-6256-2867,Vaginal,2,No,No,Urban,Yes
PT0036,31,1323-8663-5723,C-Section,3,Yes,No,Urban,Yes
PT0037,36,1839-1624-3630,C-Section,2,No,No,Urban,Yes
PT0038,28,5871-2357-5860,Vaginal,3,No,No,Urban,Yes
PT0039,24,4074-2383-6764,Vaginal,3,No,No,Urban,Yes
PT0040,40,6349-4264-8893,Vaginal,3,No,No,Urban,Yes
PT0041,36,2131-1239-9410,Vaginal,2,No,No,Urban,Yes
PT0042,25,3767-3692-2452,Vaginal,2,No,No,Urban,Yes
PT0043,30,6496-6578-7555,Vaginal,3,No,No,Urban,No
PT0044,32,9985-8021-9197,Vaginal,3,Yes,No,Urban,Yes
PT0045,32,1273-8975-5940,Vaginal,2,No,No,Urban,Yes
PT0046,39,4124-8960-2735,C-Section,2,Yes,No,Urban,Yes
PT0047,23,3524-6733-3793,Vaginal,2,No,No,Urban,Yes
PT0048,32,4241-9916-6939,C-Section,2,Yes,No,Urban,Yes
PT0049,26,6381-8606-4964,Vaginal,3,No,No,Urban,Yes
PT0050,37,3815-8587-4332,C-Section,3,No,No,Urban,Yes
PT0051,37,5616-7209-7402,Vaginal,2,No,Yes,Urban,Yes
PT0052,32,5587-9968-8573,Vaginal,3,No,No,Urban,Yes
PT0053,41,4211-1064-5969,Vaginal,3,Yes,Yes,Urban,Yes
PT0054,22,7776-3929-4103,Vaginal,3,No,No,Urban,Yes
PT0055,36,6092-7990-5162,Vaginal,2,Yes,No,Urban,Yes
PT0056,25,3251-1482-5229,Vaginal,2,No,No,Urban,Pending
PT0057,36,7587-1050-8310,Vaginal,3,No,No,Urban,Yes
PT0058,23,8288-4542-5976,C-Section,4,No,Yes,Suburban,Yes
PT0059,24,4495-9020-1388,Vaginal,7,No,No,Rural,Yes
PT0060,33,8393-3611-8640,Vaginal,3,No,No,Urban,Yes
PT0061,37,2713-6002-6545,C-Section,3,Yes,No,Urban,Yes
PT0062,39,5576-7803-6036,Vaginal,3,No,No,Urban,Yes
PT0063,28,7866-6561-2069,Vaginal,4,No,No,Suburban,Yes
